COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_LAST_DOSE,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE
Chile,CHL,AMRO,REPORTING,02-06-2023,66273384,18106832,17716364,21-12-2020,5,15766986
China,CHN,WPRO,REPORTING,23-03-2023,3515872818,1317994878,1284413713,22-07-2020,8,833820382
Colombia,COL,AMRO,REPORTING,02-06-2023,90506612,43012174,37019801,17-02-2021,5,14792792
Comoros,COM,AFRO,REPORTING,02-10-2022,835021,438825,397080,10-04-2021,3,
Congo,COG,AFRO,REPORTING,31-07-2022,833210,695760,654119,23-03-2021,4,
Cook Islands,COK,WPRO,REPORTING,31-01-2023,40080,15112,14728,17-05-2021,1,10240
Costa Rica,CRI,AMRO,REPORTING,02-06-2023,13371989,4641899,4358863,24-12-2020,3,2957974
Côte d’Ivoire,CIV,AFRO,REPORTING,19-02-2023,25263932,13568372,12164304,01-03-2021,5,3138712
Croatia,HRV,EURO,REPORTING,11-06-2023,5432701,2320124,2246534,23-12-2020,6,994415
Cuba,CUB,AMRO,REPORTING,02-06-2023,38105906,10749013,10016328,26-08-2021,3,8742146
Curaçao,CUW,AMRO,REPORTING,02-06-2023,260324,108601,100885,24-02-2021,3,43138
Cyprus,CYP,EURO,REPORTING,11-06-2023,1858908,669218,656129,23-12-2020,5,487380
Czechia,CZE,EURO,REPORTING,11-06-2023,18614714,6972162,6887894,23-12-2020,9,4365749
Democratic Republic of the Congo,COD,AFRO,REPORTING,04-06-2023,18808671,17045721,14399520,19-04-2021,1,
Denmark,DNK,EURO,REPORTING,11-06-2023,14986863,4767119,4731911,16-12-2020,5,3634971
Djibouti,DJI,EMRO,REPORTING,18-04-2023,392703,372077,351712,15-03-2021,11,
Dominica,DMA,AMRO,REPORTING,02-06-2023,67647,32995,30659,12-02-2021,5,3993
Dominican Republic,DOM,AMRO,REPORTING,02-06-2023,15972891,7322815,6095810,16-02-2021,5,2554266
Ecuador,ECU,AMRO,REPORTING,24-02-2023,39495110,15329151,14233323,20-01-2021,4,7708466
Egypt,EGY,EMRO,REPORTING,21-05-2023,112673535,56907319,42337175,24-01-2021,10,15217352
El Salvador,SLV,AMRO,REPORTING,02-06-2023,11426688,4656627,4393762,17-02-2021,6,1898202
Equatorial Guinea,GNQ,AFRO,REPORTING,24-07-2022,488738,270109,214032,12-02-2021,2,4597
Estonia,EST,EURO,REPORTING,11-06-2023,2204676,845120,842153,23-12-2020,9,487291
Eswatini,SWZ,AFRO,REPORTING,04-06-2023,870205,526050,427335,19-03-2021,3,179450
Ethiopia,ETH,AFRO,REPORTING,28-05-2023,68856793,52489512,43653006,13-03-2021,4,5978070
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,21-06-2022,9390,3220,2976,,1,2543
Faroe Islands,FRO,EURO,OWID,18-02-2022,103894,41715,40895,,2,21284
Fiji,FJI,WPRO,REPORTING,27-04-2023,1555182,712025,641194,07-03-2021,3,172046
Finland,FIN,EURO,REPORTING,11-06-2023,13262633,4547390,4364869,23-12-2020,5,3088223
France,FRA,EURO,REPORTING,11-06-2023,158038124,54676037,53187210,23-12-2020,9,41038200
French Guiana,GUF,AMRO,REPORTING,02-06-2023,242193,100299,90464,13-01-2021,3,46331
